,Befolkning,Total Omsättning,Omsättning per Invånare,Antal Bankomater,Befolknigstäthet,Genomsnittlig Ålder,Antal Transaktioner,Antal Transaktioner Per Bankomat,Genomsnittlig Transaktionsstorlek,Antal Invånare Per Bankomat,Utrikesfödda,Andel utrikesfödda
Fagersta,12290,45981382,1808.439471407221,5,48.8,45,20091,4018.2,2288.6557164899705,2458.0,3078,0.2504475183075671
Fagersta,12661,45981382,1808.439471407221,5,49.3,45,20091,4018.2,2288.6557164899705,2532.2,3439,0.2716215148882395
Fagersta,12450,45981382,1808.439471407221,5,49.4,45,20091,4018.2,2288.6557164899705,2490.0,3239,0.2601606425702811
Fagersta,12660,45981382,1808.439471407221,5,49.6,45,20091,4018.2,2288.6557164899705,2532.0,3621,0.28601895734597155
Fagersta,12624,45981382,1808.439471407221,5,50.0,45,20091,4018.2,2288.6557164899705,2524.8,3510,0.27804182509505704
Fagersta,12677,45981382,1808.439471407221,5,49.6,45,20091,4018.2,2288.6557164899705,2535.4,3621,0.2856354026977992
Fagersta,12290,45981382,1808.439471407221,5,48.8,45,20091,4018.2,2288.6557164899705,2458.0,3078,0.2504475183075671
Fagersta,12639,45981382,1808.439471407221,5,49.6,45,20091,4018.2,2288.6557164899705,2527.8,3621,0.28649418466650844
Fagersta,12544,45981382,1808.439471407221,5,50.0,45,20091,4018.2,2288.6557164899705,2508.8,3447,0.27479272959183676
Fagersta,12586,45981382,1808.439471407221,5,49.5,45,20091,4018.2,2288.6557164899705,2517.2,3526,0.2801525504528842
Fagersta,12569,45981382,1808.439471407221,5,49.9,45,20091,4018.2,2288.6557164899705,2513.8,3435,0.2732914312992283
Fagersta,12714,45981382,1808.439471407221,5,49.3,45,20091,4018.2,2288.6557164899705,2542.8,3439,0.27048922447695456
Fagersta,12566,45981382,1808.439471407221,5,50.0,45,20091,4018.2,2288.6557164899705,2513.2,3447,0.27431163456947316
Fagersta,12545,45981382,1808.439471407221,5,50.0,45,20091,4018.2,2288.6557164899705,2509.0,3447,0.27477082502989236
Fagersta,12655,45981382,1808.439471407221,5,49.8,45,20091,4018.2,2288.6557164899705,2531.0,3483,0.27522718293164755
Fagersta,12293,45981382,1808.439471407221,5,48.8,45,20091,4018.2,2288.6557164899705,2458.6,3078,0.250386398763524
Fagersta,12723,45981382,1808.439471407221,5,49.9,45,20091,4018.2,2288.6557164899705,2544.6,3435,0.26998349445885406
Fagersta,12567,45981382,1808.439471407221,5,49.9,45,20091,4018.2,2288.6557164899705,2513.4,3435,0.2733349248030556
Fagersta,12695,45981382,1808.439471407221,5,50.0,45,20091,4018.2,2288.6557164899705,2539.0,3510,0.27648680582906654
Fagersta,12314,45981382,1808.439471407221,5,48.8,45,20091,4018.2,2288.6557164899705,2462.8,3078,0.24995939580964754
Fagersta,12583,45981382,1808.439471407221,5,50.0,45,20091,4018.2,2288.6557164899705,2516.6,3447,0.27394103155050464
Fagersta,12649,45981382,1808.439471407221,5,50.0,45,20091,4018.2,2288.6557164899705,2529.8,3510,0.2774922918807811
Fagersta,12681,45981382,1808.439471407221,5,49.6,45,20091,4018.2,2288.6557164899705,2536.2,3621,0.2855453039981074
Fagersta,12427,45981382,1808.439471407221,5,49.4,45,20091,4018.2,2288.6557164899705,2485.4,3239,0.2606421501569164
Fagersta,12664,45981382,1808.439471407221,5,49.6,45,20091,4018.2,2288.6557164899705,2532.8,3621,0.28592861655085283
Fagersta,12602,45981382,1808.439471407221,5,49.3,45,20091,4018.2,2288.6557164899705,2520.4,3439,0.27289319155689573
Fagersta,12549,45981382,1808.439471407221,5,49.8,45,20091,4018.2,2288.6557164899705,2509.8,3483,0.27755199617499404
Fagersta,12722,45981382,1808.439471407221,5,49.8,45,20091,4018.2,2288.6557164899705,2544.4,3483,0.27377770790756173
Fagersta,12484,45981382,1808.439471407221,5,49.3,45,20091,4018.2,2288.6557164899705,2496.8,3439,0.2754726049343159
Fagersta,12728,45981382,1808.439471407221,5,49.8,45,20091,4018.2,2288.6557164899705,2545.6,3483,0.27364864864864863
Fagersta,12687,45981382,1808.439471407221,5,49.8,45,20091,4018.2,2288.6557164899705,2537.4,3483,0.2745329865216363
Fagersta,12535,45981382,1808.439471407221,5,49.8,45,20091,4018.2,2288.6557164899705,2507.0,3483,0.27786198643797366
Fagersta,12562,45981382,1808.439471407221,5,49.5,45,20091,4018.2,2288.6557164899705,2512.4,3526,0.28068778856869925
Fagersta,12702,45981382,1808.439471407221,5,49.9,45,20091,4018.2,2288.6557164899705,2540.4,3435,0.2704298535663675
Fagersta,12579,45981382,1808.439471407221,5,49.5,45,20091,4018.2,2288.6557164899705,2515.8,3526,0.28030845059225695
Fagersta,12669,45981382,1808.439471407221,5,50.0,45,20091,4018.2,2288.6557164899705,2533.8,3510,0.2770542268529481
Fagersta,12560,45981382,1808.439471407221,5,50.0,45,20091,4018.2,2288.6557164899705,2512.0,3447,0.27444267515923565
Fagersta,12535,45981382,1808.439471407221,5,49.3,45,20091,4018.2,2288.6557164899705,2507.0,3439,0.27435181491822896
Fagersta,12421,45981382,1808.439471407221,5,49.4,45,20091,4018.2,2288.6557164899705,2484.2,3239,0.26076805410192416
Fagersta,12428,45981382,1808.439471407221,5,49.4,45,20091,4018.2,2288.6557164899705,2485.6,3239,0.26062117798519474
Fagersta,12430,45981382,1808.439471407221,5,49.4,45,20091,4018.2,2288.6557164899705,2486.0,3239,0.26057924376508446
Fagersta,12286,45981382,1808.439471407221,5,48.8,45,20091,4018.2,2288.6557164899705,2457.2,3078,0.2505290574637799
Fagersta,12611,45981382,1808.439471407221,5,49.8,45,20091,4018.2,2288.6557164899705,2522.2,3483,0.2761874553960828
Fagersta,12670,45981382,1808.439471407221,5,49.8,45,20091,4018.2,2288.6557164899705,2534.0,3483,0.27490134175217046
Fagersta,12316,45981382,1808.439471407221,5,48.8,45,20091,4018.2,2288.6557164899705,2463.2,3078,0.24991880480675543
Fagersta,12533,45981382,1808.439471407221,5,50.0,45,20091,4018.2,2288.6557164899705,2506.6,3447,0.27503391047634246
Fagersta,12505,45981382,1808.439471407221,5,49.3,45,20091,4018.2,2288.6557164899705,2501.0,3439,0.27500999600159937
Fagersta,12569,45981382,1808.439471407221,5,50.0,45,20091,4018.2,2288.6557164899705,2513.8,3447,0.27424616119022993
Fagersta,12285,45981382,1808.439471407221,5,48.8,45,20091,4018.2,2288.6557164899705,2457.0,3078,0.25054945054945055
Fagersta,12676,45981382,1808.439471407221,5,50.0,45,20091,4018.2,2288.6557164899705,2535.2,3510,0.27690123067213634
Fagersta,12672,45981382,1808.439471407221,5,49.6,45,20091,4018.2,2288.6557164899705,2534.4,3621,0.2857481060606061
Fagersta,12644,45981382,1808.439471407221,5,49.9,45,20091,4018.2,2288.6557164899705,2528.8,3435,0.27167035748180957
Fagersta,12578,45981382,1808.439471407221,5,49.8,45,20091,4018.2,2288.6557164899705,2515.6,3483,0.27691206869136586
Fagersta,12742,45981382,1808.439471407221,5,49.9,45,20091,4018.2,2288.6557164899705,2548.4,3435,0.269580913514362
Fagersta,12291,45981382,1808.439471407221,5,48.8,45,20091,4018.2,2288.6557164899705,2458.2,3078,0.2504271418110813
Fagersta,12688,45981382,1808.439471407221,5,50.0,45,20091,4018.2,2288.6557164899705,2537.6,3510,0.2766393442622951
Fagersta,12719,45981382,1808.439471407221,5,49.3,45,20091,4018.2,2288.6557164899705,2543.8,3439,0.27038289173677177
Fagersta,12589,45981382,1808.439471407221,5,50.0,45,20091,4018.2,2288.6557164899705,2517.8,3447,0.27381046945746285
Fagersta,12591,45981382,1808.439471407221,5,49.5,45,20091,4018.2,2288.6557164899705,2518.2,3526,0.28004129934079897
Åmål,11874,42100570,1796.252666609779,6,26.2,48,19311,3218.5,2180.1341204494847,1979.0,1773,0.1493178372915614
Åmål,11867,42100570,1796.252666609779,6,25.6,48,19311,3218.5,2180.1341204494847,1977.8333333333333,1956,0.1648268307070026
Åmål,12034,42100570,1796.252666609779,6,26.4,48,19311,3218.5,2180.1341204494847,2005.6666666666667,2063,0.1714309456539804
Åmål,11917,42100570,1796.252666609779,6,26.2,48,19311,3218.5,2180.1341204494847,1986.1666666666667,1773,0.148779055131325
Åmål,12091,42100570,1796.252666609779,6,26.6,48,19311,3218.5,2180.1341204494847,2015.1666666666667,1990,0.16458522868249112
Åmål,11759,42100570,1796.252666609779,6,25.6,48,19311,3218.5,2180.1341204494847,1959.8333333333333,1486,0.1263712900756867
Åmål,11873,42100570,1796.252666609779,6,26.2,48,19311,3218.5,2180.1341204494847,1978.8333333333333,1773,0.14933041354333362
Åmål,11752,42100570,1796.252666609779,6,25.6,48,19311,3218.5,2180.1341204494847,1958.6666666666667,1486,0.12644656228727025
Åmål,12131,42100570,1796.252666609779,6,26.6,48,19311,3218.5,2180.1341204494847,2021.8333333333333,1990,0.16404253565246063
Åmål,11730,42100570,1796.252666609779,6,25.4,48,19311,3218.5,2180.1341204494847,1955.0,1899,0.1618925831202046
Åmål,11969,42100570,1796.252666609779,6,25.9,48,19311,3218.5,2180.1341204494847,1994.8333333333333,2048,0.1711086974684602
Åmål,11751,42100570,1796.252666609779,6,25.6,48,19311,3218.5,2180.1341204494847,1958.5,1486,0.1264573227810399
Åmål,11800,42100570,1796.252666609779,6,25.9,48,19311,3218.5,2180.1341204494847,1966.6666666666667,2048,0.17355932203389832
Åmål,12119,42100570,1796.252666609779,6,26.6,48,19311,3218.5,2180.1341204494847,2019.8333333333333,1990,0.1642049674065517
Åmål,12098,42100570,1796.252666609779,6,26.4,48,19311,3218.5,2180.1341204494847,2016.3333333333333,2150,0.17771532484708216
Åmål,12097,42100570,1796.252666609779,6,26.6,48,19311,3218.5,2180.1341204494847,2016.1666666666667,1990,0.16450359593287592
Åmål,12037,42100570,1796.252666609779,6,25.9,48,19311,3218.5,2180.1341204494847,2006.1666666666667,2048,0.1701420619755753
Åmål,11739,42100570,1796.252666609779,6,25.4,48,19311,3218.5,2180.1341204494847,1956.5,1899,0.1617684640940455
Åmål,12070,42100570,1796.252666609779,6,26.4,48,19311,3218.5,2180.1341204494847,2011.6666666666667,2150,0.17812758906379453
Åmål,12093,42100570,1796.252666609779,6,26.6,48,19311,3218.5,2180.1341204494847,2015.5,1990,0.16455800876540147
Åmål,11634,42100570,1796.252666609779,6,25.4,48,19311,3218.5,2180.1341204494847,1939.0,1899,0.16322846828261992
Åmål,11948,42100570,1796.252666609779,6,26.2,48,19311,3218.5,2180.1341204494847,1991.3333333333333,2110,0.17659859390693003
Åmål,11894,42100570,1796.252666609779,6,25.6,48,19311,3218.5,2180.1341204494847,1982.3333333333333,1956,0.16445266520934926
Åmål,11944,42100570,1796.252666609779,6,26.2,48,19311,3218.5,2180.1341204494847,1990.6666666666667,1773,0.1484427327528466
Åmål,11989,42100570,1796.252666609779,6,26.2,48,19311,3218.5,2180.1341204494847,1998.1666666666667,2110,0.17599466177329218
Åmål,12126,42100570,1796.252666609779,6,26.4,48,19311,3218.5,2180.1341204494847,2021.0,2150,0.1773049645390071
Åmål,12044,42100570,1796.252666609779,6,26.4,48,19311,3218.5,2180.1341204494847,2007.3333333333333,2150,0.17851212221853205
Åmål,12221,42100570,1796.252666609779,6,26.4,48,19311,3218.5,2180.1341204494847,2036.8333333333333,2063,0.16880778986989609
Åmål,11968,42100570,1796.252666609779,6,26.2,48,19311,3218.5,2180.1341204494847,1994.6666666666667,2110,0.17630347593582887
Åmål,11722,42100570,1796.252666609779,6,25.6,48,19311,3218.5,2180.1341204494847,1953.6666666666667,1486,0.12677017573792868
Åmål,11819,42100570,1796.252666609779,6,25.6,48,19311,3218.5,2180.1341204494847,1969.8333333333333,1956,0.16549623487604703
Åmål,11858,42100570,1796.252666609779,6,25.6,48,19311,3218.5,2180.1341204494847,1976.3333333333333,1956,0.16495193118569743
Åmål,11821,42100570,1796.252666609779,6,25.9,48,19311,3218.5,2180.1341204494847,1970.1666666666667,2048,0.17325099399373994
Åmål,11648,42100570,1796.252666609779,6,25.4,48,19311,3218.5,2180.1341204494847,1941.3333333333333,1899,0.16303228021978022
Åmål,12053,42100570,1796.252666609779,6,26.4,48,19311,3218.5,2180.1341204494847,2008.8333333333333,2063,0.1711607068779557
Åmål,11966,42100570,1796.252666609779,6,26.2,48,19311,3218.5,2180.1341204494847,1994.3333333333333,1773,0.14816981447434396
Åmål,12092,42100570,1796.252666609779,6,26.4,48,19311,3218.5,2180.1341204494847,2015.3333333333333,2063,0.17060866688719814
Åmål,12215,42100570,1796.252666609779,6,26.4,48,19311,3218.5,2180.1341204494847,2035.8333333333333,2063,0.16889070814572246
Åmål,11759,42100570,1796.252666609779,6,25.6,48,19311,3218.5,2180.1341204494847,1959.8333333333333,1486,0.1263712900756867
Åmål,11987,42100570,1796.252666609779,6,25.9,48,19311,3218.5,2180.1341204494847,1997.8333333333333,2048,0.17085175606907482
Åmål,11671,42100570,1796.252666609779,6,25.4,48,19311,3218.5,2180.1341204494847,1945.1666666666667,1899,0.16271099305972067
Åmål,12126,42100570,1796.252666609779,6,26.4,48,19311,3218.5,2180.1341204494847,2021.0,2150,0.1773049645390071
Åmål,11716,42100570,1796.252666609779,6,25.6,48,19311,3218.5,2180.1341204494847,1952.6666666666667,1956,0.16695117787640834
Åmål,11957,42100570,1796.252666609779,6,26.2,48,19311,3218.5,2180.1341204494847,1992.8333333333333,2110,0.17646566864598143
Åmål,12105,42100570,1796.252666609779,6,26.6,48,19311,3218.5,2180.1341204494847,2017.5,1990,0.164394878149525
Åmål,12134,42100570,1796.252666609779,6,26.4,48,19311,3218.5,2180.1341204494847,2022.3333333333333,2063,0.1700181308719301
Åmål,11789,42100570,1796.252666609779,6,25.4,48,19311,3218.5,2180.1341204494847,1964.8333333333333,1899,0.16108236491644753
Åmål,12106,42100570,1796.252666609779,6,26.2,48,19311,3218.5,2180.1341204494847,2017.6666666666667,2110,0.1742937386419957
Åmål,11892,42100570,1796.252666609779,6,25.9,48,19311,3218.5,2180.1341204494847,1982.0,2048,0.1722166162125799
Åmål,12081,42100570,1796.252666609779,6,26.2,48,19311,3218.5,2180.1341204494847,2013.5,2110,0.1746544160251635
Åmål,11708,42100570,1796.252666609779,6,25.4,48,19311,3218.5,2180.1341204494847,1951.3333333333333,1899,0.16219678852066963
Åmål,11785,42100570,1796.252666609779,6,25.6,48,19311,3218.5,2180.1341204494847,1964.1666666666667,1486,0.1260924904539669
Åmål,12137,42100570,1796.252666609779,6,26.2,48,19311,3218.5,2180.1341204494847,2022.8333333333333,2110,0.1738485622476724
Åmål,12070,42100570,1796.252666609779,6,26.6,48,19311,3218.5,2180.1341204494847,2011.6666666666667,1990,0.16487158243579123
Åmål,11969,42100570,1796.252666609779,6,26.2,48,19311,3218.5,2180.1341204494847,1994.8333333333333,1773,0.14813267607987302
Åmål,12112,42100570,1796.252666609779,6,26.6,48,19311,3218.5,2180.1341204494847,2018.6666666666667,1990,0.16429986789960369
Åmål,11789,42100570,1796.252666609779,6,25.6,48,19311,3218.5,2180.1341204494847,1964.8333333333333,1956,0.16591738060904232
Åmål,11949,42100570,1796.252666609779,6,26.2,48,19311,3218.5,2180.1341204494847,1991.5,1773,0.14838061762490584
Åmål,12127,42100570,1796.252666609779,6,26.4,48,19311,3218.5,2180.1341204494847,2021.1666666666667,2150,0.17729034386080647
Åmål,11621,42100570,1796.252666609779,6,25.4,48,19311,3218.5,2180.1341204494847,1936.8333333333333,1899,0.16341106617330695
Åmål,11954,42100570,1796.252666609779,6,26.2,48,19311,3218.5,2180.1341204494847,1992.3333333333333,1773,0.14831855445875858
Åmål,12134,42100570,1796.252666609779,6,26.4,48,19311,3218.5,2180.1341204494847,2022.3333333333333,2150,0.1771880665897478
Åmål,11862,42100570,1796.252666609779,6,25.6,48,19311,3218.5,2180.1341204494847,1977.0,1956,0.16489630753667173
Åmål,11916,42100570,1796.252666609779,6,26.2,48,19311,3218.5,2180.1341204494847,1986.0,1773,0.1487915407854985
Åmål,12161,42100570,1796.252666609779,6,26.4,48,19311,3218.5,2180.1341204494847,2026.8333333333333,2063,0.16964065455143493
Åmål,12076,42100570,1796.252666609779,6,26.6,48,19311,3218.5,2180.1341204494847,2012.6666666666667,1990,0.16478966545213647
Åmål,11734,42100570,1796.252666609779,6,25.6,48,19311,3218.5,2180.1341204494847,1955.6666666666667,1486,0.12664053178796658
Åmål,11922,42100570,1796.252666609779,6,25.9,48,19311,3218.5,2180.1341204494847,1987.0,2048,0.17178325784264384
Åmål,11767,42100570,1796.252666609779,6,25.4,48,19311,3218.5,2180.1341204494847,1961.1666666666667,1899,0.16138353021160873
Åmål,12125,42100570,1796.252666609779,6,26.4,48,19311,3218.5,2180.1341204494847,2020.8333333333333,2150,0.177319587628866
Åmål,11860,42100570,1796.252666609779,6,25.6,48,19311,3218.5,2180.1341204494847,1976.6666666666667,1956,0.16492411467116358
Åmål,12092,42100570,1796.252666609779,6,26.2,48,19311,3218.5,2180.1341204494847,2015.3333333333333,2110,0.1744955342375124
Åmål,11964,42100570,1796.252666609779,6,26.2,48,19311,3218.5,2180.1341204494847,1994.0,1773,0.14819458375125377
Åmål,11814,42100570,1796.252666609779,6,25.9,48,19311,3218.5,2180.1341204494847,1969.0,2048,0.1733536482139834
