1904 Skinnskatteberg;659.39
1907 Surahammar;343.91
1960 Kungsör;202.61
1961 Hallstahammar;169.52
1962 Norberg;417.83
1980 Västerås;958.36
1981 Sala;1166.87
1982 Fagersta;269.02
1983 Köping;604.32
1984 Arboga;325.45
2021 Vansbro;1540.03
2023 Malung-Sälen;4085.04
2026 Gagnef;767.23
2029 Leksand;1221.52
2031 Rättvik;1920.78
2034 Orsa;1730.73
2039 Älvdalen;6871.31
2061 Smedjebacken;947.99
2062 Mora;2812.47
2080 Falun;2039.84
2081 Borlänge;583.87
2082 Säter;570.31
2083 Hedemora;835.52
2084 Avesta;613.17
2085 Ludvika;1490.34
2101 Ockelbo;1064.69
2104 Hofors;409.91
2121 Ovanåker;1873.32
2132 Nordanstig;1370.06
2161 Ljusdal;5256.40
2180 Gävle;1613.03
2181 Sandviken;1165.57
2182 Söderhamn;1059.42
2183 Bollnäs;1814.05
2184 Hudiksvall;2486.80
2260 Ånge;3050.17
2262 Timrå;783.16
2280 Härnösand;1058.27
2281 Sundsvall;3189.14
2282 Kramfors;1694.63
2283 Sollefteå;5396.59
2284 Örnsköldsvik;6376.53
2303 Ragunda;2510.89
2305 Bräcke;3408.10
2309 Krokom;6154.47
2313 Strömsund;10464.24
2321 Åre;7195.00
2326 Berg;5710.25
2361 Härjedalen;11283.96
2380 Östersund;2208.35
2401 Nordmaling;1230.66
2403 Bjurholm;1306.72
2404 Vindeln;2630.12
2409 Robertsfors;1292.33
2417 Norsjö;1739.13
2418 Malå;1598.21
2421 Storuman;7298.82
2422 Sorsele;7366.62
2425 Dorotea;2764.44
2460 Vännäs;529.51
2462 Vilhelmina;8047.22
2463 Åsele;4223.43
2480 Umeå;2316.69
2481 Lycksele;5518.15
2482 Skellefteå;6802.33
2505 Arvidsjaur;5655.44
2506 Arjeplog;12556.87
2510 Jokkmokk;17600.76
2513 Överkalix;2764.76
2514 Kalix;1803.18
2518 Övertorneå;2358.03
2521 Pajala;7839.79
2523 Gällivare;15691.28
2560 Älvsbyn;1699.25
2580 Luleå;2088.39
2581 Piteå;3086.12
2582 Boden;4013.88
2583 Haparanda;920.90
2584 Kiruna;19163.23
